"id","rater1","rater2","rater3"
1,2,2,2
2,3,3,3
3,2,3,1
4,3,3,3
5,4,3,5
6,3,3,3
7,1,1,1
8,3,3,3
9,4,4,4
10,4,4,5
11,3,3,3
12,5,5,5
13,3,3,4
14,4,5,4
15,3,3,2
16,2,2,1
17,3,3,3
18,3,4,3
19,3,3,3
20,2,2,2
21,3,3,3
22,4,4,5
23,3,2,3
24,1,1,2
25,3,3,3
26,2,2,3
27,3,3,3
28,4,4,4
29,4,5,5
30,4,4,4
31,3,3,3
32,4,4,4
33,3,3,3
34,4,4,4
35,1,1,2
36,2,2,3
37,4,4,4
38,2,2,3
39,3,3,2
40,3,3,4
41,4,5,4
42,3,2,3
43,4,4,5
44,4,3,3
45,3,3,4
46,3,3,4
47,4,4,4
48,4,3,4
49,3,4,2
50,2,2,1
51,3,3,3
52,4,4,3
53,4,5,3
54,3,4,4
55,4,4,5
56,5,5,5
57,4,4,4
58,3,4,3
59,3,2,3
60,5,4,5
61,5,5,4
62,4,4,3
63,3,2,3
64,2,2,1
65,3,3,3
66,4,5,3
67,2,2,3
68,4,4,4
69,2,2,1
70,2,1,2
71,4,4,4
72,5,5,4
73,3,2,3
74,4,3,4
75,2,2,2
76,3,3,3
77,3,3,3
78,3,2,3
79,3,3,3
80,3,4,3
81,3,3,3
82,4,4,3
83,4,3,5
84,1,1,1
85,3,2,3
86,4,4,3
87,3,2,3
88,4,4,4
89,3,3,4
90,4,4,5
91,2,1,3
92,5,5,5
93,3,2,2
94,3,3,2
95,3,3,3
96,4,4,5
97,5,5,5
98,5,5,4
99,4,4,3
100,4,4,4
101,3,3,2
102,3,3,4
103,4,4,4
104,3,2,4
105,2,2,1
106,2,1,3
107,3,3,3
108,4,4,4
109,3,2,3
110,3,3,4
111,4,4,3
112,1,2,1
113,3,3,3
114,4,4,5
115,4,4,3
116,2,2,3
117,4,4,4
118,5,5,5
119,2,2,2
120,1,1,2
121,3,2,3
122,3,2,4
123,4,3,4
124,4,4,4
125,3,4,3
126,2,3,1
127,3,3,3
128,2,1,2
129,5,5,5
130,5,5,5
131,2,1,2
132,4,4,3
133,4,5,3
134,3,4,2
135,5,5,5
136,3,3,3
137,3,3,3
138,3,3,4
139,2,2,3
140,4,4,3
141,3,4,2
142,4,3,5
143,5,5,5
144,3,3,2
145,4,4,3
146,4,5,4
147,1,2,1
148,3,3,2
149,2,2,1
150,2,2,2
151,3,2,3
152,3,3,3
153,4,5,4
154,4,4,4
155,5,5,5
156,3,3,3
157,5,4,5
158,1,1,1
159,3,2,2
160,3,4,2
161,3,4,2
162,5,5,5
163,4,4,4
164,1,1,1
165,5,5,5
166,3,3,4
167,5,5,4
168,2,2,2
169,3,3,3
170,4,5,5
171,4,5,4
172,3,3,3
173,5,4,5
174,4,4,4
175,5,5,5
176,1,2,1
177,4,4,3
178,4,4,3
179,4,5,3
180,2,2,1
181,3,3,4
182,3,2,4
183,3,4,3
184,4,5,4
185,3,3,4
186,2,2,2
187,4,3,4
188,1,1,2
189,4,4,4
190,4,5,4
191,2,2,1
192,3,2,3
193,5,5,5
194,4,3,4
195,5,4,5
196,3,3,3
197,1,1,1
198,2,2,2
199,3,3,2
200,4,4,4
