"id","item1","item2","item3","item4","item5","item6","item7","item8","item9","item10"
1,3,6,5,6,7,4,6,5,4,5
2,4,3,4,4,4,4,2,6,3,3
3,5,4,5,4,5,5,4,5,4,3
4,7,4,5,4,5,5,4,4,4,2
5,3,4,4,3,3,5,4,5,2,3
6,3,3,5,4,3,5,5,6,4,4
7,4,5,3,5,5,3,4,5,6,5
8,3,5,5,5,1,6,4,3,5,3
9,5,7,5,7,5,6,7,7,7,5
10,4,2,2,4,5,3,2,6,4,5
11,4,4,3,4,5,4,4,4,4,3
12,7,5,6,7,5,7,6,6,6,6
13,3,1,5,4,4,3,3,3,4,3
14,4,3,4,4,3,5,3,5,6,3
15,4,3,5,2,5,4,4,4,5,4
16,4,4,5,3,3,4,6,4,6,5
17,4,2,3,4,3,6,4,4,4,5
18,4,2,3,3,1,1,2,1,1,4
19,2,2,3,1,2,3,3,1,1,3
20,4,6,5,7,5,5,5,6,7,5
21,4,5,5,1,5,4,4,4,4,4
22,2,1,4,3,3,3,3,3,2,2
23,3,4,3,4,5,4,3,2,3,3
24,4,4,5,4,7,6,5,4,4,6
25,6,6,4,5,5,3,4,6,5,6
26,4,4,4,4,4,3,4,3,3,5
27,4,3,3,3,3,4,3,4,3,5
28,3,3,3,1,4,3,3,3,4,4
29,4,4,5,4,3,5,3,4,4,5
30,5,3,3,4,3,4,3,4,4,4
31,4,6,5,4,5,3,3,4,4,4
32,5,4,5,5,5,5,4,4,5,4
33,4,4,4,5,5,5,5,4,6,4
34,3,2,5,4,4,5,4,4,4,3
35,4,4,6,2,4,4,5,5,5,5
36,2,4,2,2,3,4,3,5,1,3
37,5,1,3,4,5,3,4,2,4,2
38,3,3,4,3,3,3,4,3,3,5
39,3,1,1,3,1,2,4,3,2,4
40,3,5,4,3,3,4,3,6,3,6
41,3,6,5,5,3,5,5,5,6,3
42,5,4,3,3,3,2,5,3,4,3
43,6,6,3,3,3,5,5,4,4,4
44,5,3,4,3,1,3,3,5,4,3
45,2,4,1,3,4,2,5,5,2,2
46,6,4,3,3,5,5,2,5,4,4
47,4,4,1,3,3,4,3,5,5,2
48,5,5,6,4,4,7,5,5,5,4
49,4,3,4,5,3,3,4,3,3,3
50,3,5,5,5,5,4,5,4,4,5
51,3,3,5,3,4,3,4,4,3,5
52,4,3,3,4,4,3,3,2,4,4
53,4,5,4,5,5,7,7,5,5,4
54,5,4,5,3,5,4,4,4,5,4
55,5,4,5,4,4,3,5,5,6,6
56,3,4,3,4,5,4,4,4,6,4
57,4,6,4,5,5,6,3,5,3,5
58,4,5,4,4,6,2,3,5,6,3
59,1,5,1,3,1,2,1,2,2,3
60,4,3,5,4,6,5,5,4,4,5
61,5,5,3,4,3,6,2,6,6,3
62,5,6,5,4,4,4,3,6,5,5
63,5,5,4,5,4,6,4,6,6,6
64,3,4,6,5,5,5,3,5,5,6
65,3,2,5,3,1,2,3,3,3,1
66,6,5,5,5,5,4,5,5,3,5
67,5,6,5,6,4,4,6,4,5,6
68,5,5,5,6,3,5,4,7,4,5
69,2,3,3,4,5,4,4,3,6,4
70,5,4,5,6,4,6,4,4,5,4
71,4,3,4,3,5,3,4,5,4,1
72,4,2,4,3,4,4,4,2,5,3
73,5,5,4,5,4,4,4,4,4,4
74,4,1,2,3,4,2,3,4,3,4
75,3,4,4,4,4,2,5,3,3,4
76,6,4,3,3,5,5,6,3,5,5
77,5,4,3,4,4,5,4,4,4,4
78,3,4,5,6,2,6,4,6,4,6
79,5,4,2,4,2,4,3,2,4,5
80,4,4,3,2,2,4,5,5,4,4
81,6,5,5,4,5,5,6,6,6,5
82,3,2,3,6,4,3,2,3,4,5
83,3,3,5,6,3,4,4,3,5,3
84,5,2,3,3,3,4,2,4,4,3
85,3,4,4,2,3,2,3,3,3,1
86,5,4,4,7,4,4,5,6,6,5
87,6,4,3,4,3,6,3,4,2,2
88,3,2,4,4,3,3,3,4,5,4
89,3,4,4,5,3,6,6,6,5,5
90,5,5,4,6,6,4,4,6,5,5
91,4,5,4,5,4,6,6,6,4,6
92,4,4,2,5,4,3,4,4,3,4
93,4,4,5,4,4,4,5,5,6,4
94,7,6,4,5,4,5,6,6,5,6
95,3,3,2,2,3,3,4,4,3,3
96,3,4,3,4,4,4,5,3,3,2
97,3,4,2,4,4,3,4,4,3,3
98,4,2,1,3,3,4,3,5,3,1
99,4,4,4,5,4,4,3,6,3,3
100,3,4,5,7,7,5,3,3,6,4
101,5,6,5,6,4,4,4,6,5,4
102,5,6,5,4,4,4,5,5,6,6
103,3,3,2,3,3,4,2,2,4,3
104,6,5,5,5,5,6,6,7,7,4
105,3,3,3,6,4,3,3,4,2,3
106,4,4,3,1,4,4,4,5,5,3
107,4,3,2,4,4,4,5,6,3,4
108,5,3,3,4,3,4,3,5,4,4
109,3,3,5,4,5,4,5,4,4,4
110,4,5,4,3,5,2,2,4,4,4
111,4,5,4,4,3,6,4,3,4,5
112,3,4,6,4,5,5,6,3,2,3
113,3,3,4,5,4,4,4,4,5,3
114,3,4,3,4,5,2,5,3,4,4
115,3,5,4,4,3,3,2,3,2,2
116,3,6,3,3,3,3,4,5,3,3
117,3,2,5,4,4,2,5,4,3,3
118,6,6,6,6,5,7,5,5,4,5
119,2,5,2,3,4,4,4,2,3,3
120,5,4,3,3,6,4,3,4,6,3
121,2,5,3,4,2,3,2,2,3,3
122,3,3,4,2,5,5,6,4,3,3
123,4,5,4,2,5,2,5,5,3,5
124,3,4,4,4,3,4,3,4,2,4
125,6,7,4,5,4,4,5,3,3,3
126,3,5,5,5,3,4,3,3,4,3
127,5,2,4,3,3,3,4,3,3,4
128,3,2,2,2,3,4,2,3,3,3
129,2,4,2,2,2,2,1,5,3,4
130,4,2,3,5,4,5,5,3,5,4
131,5,3,5,5,4,6,4,2,3,3
132,3,3,4,5,4,2,3,4,3,4
133,3,4,4,5,4,3,4,3,4,3
134,5,6,4,4,6,5,6,3,5,5
135,6,5,5,5,5,4,5,4,3,4
136,3,3,4,1,2,3,4,3,4,3
137,3,4,4,4,5,3,5,3,2,3
138,4,4,4,6,5,4,5,6,4,5
139,3,5,5,3,4,4,4,5,4,5
140,3,3,4,2,5,3,4,4,3,6
141,4,4,3,2,3,4,3,2,3,1
142,4,3,5,2,4,4,4,4,3,2
143,3,4,3,5,4,2,1,3,4,2
144,3,6,2,4,5,3,3,3,3,3
145,4,4,1,2,3,5,4,4,2,6
146,5,6,5,5,3,4,5,4,4,6
147,5,4,3,1,3,1,3,3,3,4
148,2,3,3,3,3,3,5,3,3,5
149,5,5,5,6,7,5,3,5,6,7
150,5,5,3,3,3,3,1,2,2,4
151,5,2,2,5,4,4,5,3,4,6
152,2,3,1,5,4,3,3,2,2,2
153,6,5,4,4,5,6,5,5,5,4
154,3,5,4,3,4,3,3,5,3,5
155,3,4,1,3,6,4,2,3,4,5
156,4,3,3,4,3,4,2,3,1,4
157,4,5,4,5,6,3,5,3,4,4
158,4,2,5,5,4,3,3,2,3,3
159,3,5,4,5,2,3,2,5,5,5
160,3,3,5,6,3,5,5,4,5,7
161,3,4,4,5,5,2,5,5,4,5
162,2,3,3,3,2,5,3,3,4,2
163,4,5,4,3,4,5,4,5,3,5
164,3,4,4,3,6,3,5,5,4,4
165,4,3,5,5,5,4,5,7,4,5
166,5,3,5,7,5,4,6,4,6,5
167,5,4,3,5,1,3,3,3,4,2
168,3,4,3,2,4,4,6,5,5,5
169,4,3,3,3,3,4,4,4,6,5
170,5,4,5,6,5,3,6,5,5,6
171,5,3,5,3,4,4,3,3,4,4
172,5,4,4,3,5,5,4,3,5,4
173,4,2,3,3,3,1,4,1,4,2
174,4,3,4,7,5,5,7,6,6,5
175,6,4,6,7,5,5,4,4,5,5
176,3,5,4,4,4,4,5,6,3,4
177,3,5,3,4,3,3,3,2,3,6
178,3,4,5,5,6,5,5,4,5,4
179,4,4,3,4,3,5,3,5,3,4
180,6,5,4,1,5,4,4,4,2,4
181,7,4,4,5,5,5,3,5,2,3
182,3,3,4,3,2,4,2,5,5,4
183,5,3,3,5,4,4,5,6,5,4
184,6,3,3,4,4,5,6,4,2,4
185,4,4,5,2,3,5,3,3,4,4
186,3,2,2,4,2,2,2,2,3,1
187,4,6,4,5,4,3,3,4,4,5
188,5,3,5,7,4,4,4,4,4,5
189,5,3,3,4,3,2,4,2,2,3
190,4,3,5,4,1,1,4,3,4,4
191,4,4,4,5,5,4,5,6,4,3
192,3,4,4,3,5,4,5,3,4,2
193,5,5,5,4,5,5,4,3,5,3
194,3,3,3,4,4,3,3,2,4,2
195,3,3,3,4,4,4,4,4,3,4
196,6,5,4,5,6,4,4,5,4,5
197,5,4,2,3,3,3,3,2,5,4
198,5,6,3,6,3,5,3,4,3,4
199,5,3,5,4,6,6,7,5,6,4
200,5,5,3,4,5,2,2,3,4,4
