Mark,〇级（领域）,一级（模块）,二级（能力）,三级（功能）,四级（子功能）,描述,负责产品,必要性,涉及端,期望版本,说明,备注
DONE,基础系统,屏幕交互,亮灭屏管理,抬腕亮屏,抬腕动作识别,感知用户抬腕动作并自动点亮屏幕,产品经理A,Must,手表端,V1.0,,
DONE,基础系统,屏幕交互,亮灭屏管理,息屏显示(AOD),AOD状态切换,支持常亮显示简易时间与图标,产品经理A,Must,手表端,V1.0,,
DONE,基础系统,屏幕交互,触控交互,方向滑动,上下左右滑动,支持四个方向的滑动以切换不同卡片或进退页面,产品经理A,Must,手表端,V1.0,,
READY,基础系统,侧边按键,实体按键,短按,返回表盘/应用列表,在非表盘界面短按返回表盘，在表盘界面短按进入应用列表,产品经理A,Must,手表端,V1.0,,
READY,基础系统,侧边按键,实体按键,长按,长按唤醒语音助手,长按侧边按键2秒唤醒AI语音助手,产品经理A,Must,手表端,V1.0,,
READY,健康监测,心率监测,日常心率,24小时连续监测,心率周期测量,全天候每隔特定时间自动测量心率并记录,产品经理B,Must,"手表端,手机App",V1.0,,
READY,健康监测,心率监测,日常心率,心率异常预警,过高过低提醒,当连续一段时间心率超过或低于阈值时震动提醒,产品经理B,Must,"手表端,手机App",V1.0,,
READY,健康监测,血氧监测,血氧饱和度,单次测量,手动血氧测量,用户在应用中点击测量，保持静止后输出结果,产品经理B,Must,"手表端,手机App",V1.0,,
READY,健康监测,血氧监测,血氧饱和度,睡眠连续测量,夜间血氧监测,在睡眠状态下自动连续监测血氧饱和度,产品经理B,Nice to have,"手表端,手机App",V2.0,,
READY,健康监测,睡眠监测,睡眠分析,睡眠分期阶段,深浅睡眠记录,记录用户的深睡、浅睡、快速眼动(REM)以及清醒时长,产品经理B,Must,"手表端,手机App",V1.0,,
READY,健康监测,睡眠监测,睡眠分析,睡眠评分,综合睡眠质量评分,结合睡眠时长和各阶段占比，给出0-100分的综合评价,产品经理B,Must,"手表端,手机App,云端",V1.0,,
REVIEW,运动模式,户外运动,户外跑步,运动数据追踪,GPS轨迹记录,借助内置GPS独立记录户外跑步的运动轨迹,产品经理C,Must,"手表端,手机App",V1.0,,
REVIEW,运动模式,户外运动,户外跑步,运动数据追踪,配速与心率播报,按公里数或时间实时语音/震动播报当前配速和心率区段,产品经理C,Must,"手表端,蓝牙耳机",V1.0,,
READY,运动模式,室内运动,泳池游泳,游泳数据追踪,泳姿识别,自动识别自由泳、蛙泳、仰泳、蝶泳等泳姿,产品经理C,Must,手表端,V2.0,,
READY,运动模式,室内运动,泳池游泳,游泳数据追踪,划水次数与趟数记录,记录游泳趟数并计算平均划水频次,产品经理C,Must,手表端,V2.0,,
READY,智能提醒,消息通知,应用消息,消息同步展示,微信消息展示,同步手机端收到的微信文字及表情消息并在手表上展示,产品经理A,Must,"手表端,手机App",V1.0,,
READY,智能提醒,消息通知,应用消息,快捷回复,预设短语回复,提供预设的“好的”、“马上到”等短语进行快捷回复,产品经理A,Nice to have,"手表端,手机App",V2.0,,
READY,智能提醒,通话管理,蓝牙通话,接听来电,手表接听电话,连接手机时，在手表端直接接听或挂断来电，并支持音量调节,产品经理A,Must,"手表端,手机App",V1.0,,
READY,智能生态,语音助手,语音交互,核心能力,语音开启运动,对声音指令响应，如“开始户外跑步”,产品经理C,Maybe,"手表端,云端",OTA,,
READY,智能生态,语音助手,语音交互,核心能力,语音控制IoT设备,联动手机端绑定的智能家居设备进行基础控制,产品经理C,Maybe,"手表端,手机App,云端",OTA,,
READY,表盘管理,表盘市场,表盘更换,内置表盘,长按更换表盘,在表盘主界面长按进入编辑模式以左右切换内置表盘,产品经理A,Must,手表端,V1.0,,
READY,表盘管理,表盘市场,表盘下载,在线表盘商店,同步手机端表盘,在手机APP浏览表盘市场，选中后下发并推送到手表端安装,产品经理A,Must,"手表端,手机App,云端",V1.0,,
